relative_path,agency_id,partition_key,row_count,compressed_bytes,sha256
hq_clean/by_agency/agency-for-internati/agency-for-internati.jsonl.gz,agency-for-internati,agency-for-internati,2,1035,0ebe2b8ecb8c79d7570f6860c85f466eb65eaef81e83d78ff44197b4bb2771b6
hq_clean/by_agency/agriculture-departme/agriculture-departme.jsonl.gz,agriculture-departme,agriculture-departme,186,61629,cab35b1019a94acbebf94c6b00555bdb4df6f3d545f0704ebadecc86588318b1
hq_clean/by_agency/commerce-department/commerce-department.jsonl.gz,commerce-department,commerce-department,7,3332,8b8b386012cd558785309c618668c28ae941969d6a03a59216db4d279dc396fe
hq_clean/by_agency/commodity-futures-tr/commodity-futures-tr.jsonl.gz,commodity-futures-tr,commodity-futures-tr,1,670,ffb985149d3c0b498398b9c65daed206d748ba1adc0c2569ed06f3f72395b479
hq_clean/by_agency/consumer-financial-p/consumer-financial-p.jsonl.gz,consumer-financial-p,consumer-financial-p,2,1561,2078ef4dd1466bacbe8c1c3b491cd19604a3b3edb0fe5860cbffd734775ca512
hq_clean/by_agency/council-on-environme/council-on-environme.jsonl.gz,council-on-environme,council-on-environme,15,4010,d64ded918eb3617e2d89efa73411882025dac7682b2d448eeda0fa87511a6d99
hq_clean/by_agency/defense-department/defense-department.jsonl.gz,defense-department,defense-department,175,49470,81f8b5c089f7d64f216c5854d204d2d0b6416e0f0e2f250aa25d07ee8d79cbe0
hq_clean/by_agency/education-department/education-department.jsonl.gz,education-department,education-department,7,4670,c6d409799281bb10fb0913e89d247914856279269cbabc28c96731c327fd1ef3
hq_clean/by_agency/energy-department/energy-department.jsonl.gz,energy-department,energy-department,544,130843,b7464d7e74fb42a3f3a4a053de409c91156ede6683e82f4c70b860e796418c15
hq_clean/by_agency/environmental-protec/environmental-protec.jsonl.gz,environmental-protec,environmental-protec,1266,524481,335cbbac21da642dcdf215b742df33c1a68c06fe985c9c74117ae89c04dcd3e7
hq_clean/by_agency/equal-employment-opp/equal-employment-opp.jsonl.gz,equal-employment-opp,equal-employment-opp,1,721,dcfa8c9e5ee10b6fbeb181b5f38e4f8293b0670e9f639f74081c5c5615cc672a
hq_clean/by_agency/federal-communicatio/federal-communicatio.jsonl.gz,federal-communicatio,federal-communicatio,1,663,14c8d5f195a86bdd37fa8168a3b94fdb3e8c53ad12925df6f3c1fc8cf7bd6ba6
hq_clean/by_agency/federal-maritime-com/federal-maritime-com.jsonl.gz,federal-maritime-com,federal-maritime-com,1,739,a42dfdc22bfd5201b66553aec67c73ed76ec91cee5f79000e03422b9a1d9e424
hq_clean/by_agency/federal-register-adm/federal-register-adm.jsonl.gz,federal-register-adm,federal-register-adm,1,622,8b5da25661158b6ea4d9c0e9e40bbbb19661918999953eee5c946a12e988ac88
hq_clean/by_agency/federal-trade-commis/federal-trade-commis.jsonl.gz,federal-trade-commis,federal-trade-commis,1,612,54b8ed80adae7774f9e838993f186b578234a79c046b9136d048d78d656ef83b
hq_clean/by_agency/health-and-human-ser/health-and-human-ser.jsonl.gz,health-and-human-ser,health-and-human-ser,240,75241,211b4e69f6bed2960a5021198a59076eedddd27a3b997c0313df0ca0a0d76201
hq_clean/by_agency/homeland-security-de/homeland-security-de.jsonl.gz,homeland-security-de,homeland-security-de,547,161772,c792807d2e860a2a9f6bf0d53573b751a5aed526d15c5aa6adc229848e938ffb
hq_clean/by_agency/housing-and-urban-de/housing-and-urban-de.jsonl.gz,housing-and-urban-de,housing-and-urban-de,157,51565,dcb2757e1840d7699bf4422129ff6b6f76680e222f83c6780ddaf8b8e3be131c
hq_clean/by_agency/interior-department/interior-department.jsonl.gz,interior-department,interior-department,39,10442,d457e32ce5b19c5a58e8c43f1e34e7d1db92bb4c590352218fde040642f3e5a3
hq_clean/by_agency/justice-department/justice-department.jsonl.gz,justice-department,justice-department,1,1067,2eb215871279d6264ae6370f8ba9dd648f799ccbdf63aa9a71622151950a9df6
hq_clean/by_agency/labor-department/labor-department.jsonl.gz,labor-department,labor-department,2,1153,62b3a4b3bb7b3da8c1c3bf5f902b7278e57b40e579fcdc8e5bfeddab1f1401e1
hq_clean/by_agency/missing_agency/missing_agency.jsonl.gz,missing_agency,missing_agency,3,1968,fa74616846e331047c5d96396cb69843e686469d1256326bf6759362647ad54d
hq_clean/by_agency/national-aeronautics/national-aeronautics.jsonl.gz,national-aeronautics,national-aeronautics,1,739,c9758cc9e8a26fb81578ce281fcbca578a5985e169b30425c411d9bc2c61fda1
hq_clean/by_agency/national-archives-an/national-archives-an.jsonl.gz,national-archives-an,national-archives-an,27,7751,3de61d220418b33ce733adb71709d324f66179f74187f585e367d358300eb02d
hq_clean/by_agency/national-credit-unio/national-credit-unio.jsonl.gz,national-credit-unio,national-credit-unio,24,9849,b920de2327e1b050fc525bf931e9f52e295d94a10964fd7d896c08d421b04106
hq_clean/by_agency/nuclear-regulatory-c/nuclear-regulatory-c.jsonl.gz,nuclear-regulatory-c,nuclear-regulatory-c,786,189939,91b85795f005dd454c63a19091d21bc562e75f88b1858dce6308a39561f35636
hq_clean/by_agency/personnel-management/personnel-management.jsonl.gz,personnel-management,personnel-management,3,2489,58d947e6e3502db9f2fac0c5b14fb7cba40aefb16cdd182fe7f485cf50f28afb
hq_clean/by_agency/small-business-admin/small-business-admin.jsonl.gz,small-business-admin,small-business-admin,1,844,ced6ec8c861687671d67cc19dbf54a3898b7fa9deae46de28aa0791152cdb1ec
hq_clean/by_agency/state-department/state-department.jsonl.gz,state-department,state-department,2,928,fb568e6b5bad9c7b85b61b983dba006083666d5d27aa5040f3f7f53f27a3113b
hq_clean/by_agency/transportation-depar/transportation-depar.jsonl.gz,transportation-depar,transportation-depar,208,59602,2b44880cf9d54fc59417d533aa5dae5a309cf55a8099ee613656428c0b58b3a0
hq_clean/by_agency/treasury-department/treasury-department.jsonl.gz,treasury-department,treasury-department,34,11738,f84828a1eefd29654aaf4dd0314a49ef5f6db49d6d4f4e663be6d5cbf943cd95
hq_clean/by_agency/veterans-affairs-dep/veterans-affairs-dep.jsonl.gz,veterans-affairs-dep,veterans-affairs-dep,1,958,9e89077355865e3b2828bc6a84e72c733ffb603df0eb684676e230965638ed82
